date,crop,mandi,arrival_tonnes,min_price,max_price,model_price,weather
2025-10-28,Onion,Delhi,296.95,1391,2093,1624,Sunny
2025-01-08,Mustard,Kanpur,26.85,1636,2431,1996,Humid
2025-12-29,Maize,Bhopal,325.5,1177,1713,1611,Rainy
2025-01-11,Wheat,Bhopal,313.34,1430,1941,1576,Cloudy
2025-11-13,Maize,Delhi,379.12,1923,2138,1936,Cloudy
2025-05-24,Wheat,Delhi,328.67,1638,1919,1837,Humid
2025-04-12,Onion,Jaipur,420.87,1342,2015,1375,Sunny
2025-09-17,Onion,Jaipur,485.79,2401,2610,2558,Sunny
2025-10-12,Mustard,Bhopal,119.63,1248,1356,1293,Cloudy
2025-02-18,Rice,Bhopal,189.2,1004,1599,1071,Rainy
2025-02-03,Maize,Jaipur,406.42,1859,1986,1946,Sunny
2025-08-26,Onion,Delhi,259.97,1332,1614,1496,Foggy
2025-01-30,Wheat,Delhi,413.19,839,943,883,Rainy
2025-04-20,Potato,Jaipur,325.49,1062,1838,1783,Cloudy
2025-12-27,Maize,Jaipur,471.09,868,1556,1089,Sunny
2025-01-04,Mustard,Lucknow,230.69,1826,2064,1885,Rainy
2025-08-10,Maize,Kanpur,295.41,854,1189,967,Rainy
2025-03-09,Mustard,Delhi,227.53,1215,1865,1466,Foggy
2025-06-08,Onion,Lucknow,62.68,1211,1320,1318,Sunny
2025-02-09,Mustard,Delhi,158.34,1707,2502,2124,Sunny
2025-04-14,Rice,Lucknow,490.93,1361,1679,1523,Humid
2025-01-19,Maize,Lucknow,392.08,942,1740,1470,Sunny
2025-07-04,Potato,Kanpur,137.08,803,1235,1004,Humid
2025-05-25,Wheat,Delhi,228.84,1803,2299,2164,Foggy
2025-11-06,Rice,Jaipur,334.94,1388,1694,1408,Foggy
2025-08-21,Rice,Bhopal,333.42,2358,2907,2859,Sunny
2025-04-15,Potato,Jaipur,177.0,1994,2400,2268,Sunny
2025-11-26,Maize,Delhi,75.27,924,1286,1253,Rainy
2025-04-10,Potato,Bhopal,328.06,1475,1717,1544,Sunny
2025-05-07,Maize,Jaipur,488.5,2047,2475,2220,Humid
2025-03-16,Potato,Jaipur,439.88,2442,2805,2687,Rainy
2025-10-30,Onion,Jaipur,485.95,1752,2033,2025,Sunny
2025-10-25,Mustard,Delhi,251.94,2019,2673,2403,Cloudy
2025-10-25,Rice,Lucknow,35.99,1285,2042,1661,Sunny
2025-01-26,Onion,Bhopal,372.93,2095,2628,2250,Foggy
2025-06-21,Rice,Indore,239.16,1126,1260,1147,Cloudy
2025-02-17,Onion,Bhopal,38.34,2466,3021,2767,Foggy
2025-11-10,Mustard,Lucknow,216.14,1574,2097,1898,Humid
